age	job	marital	education	default	balance	housing	loan	contact	day	month	duration	campaign	pdays	previous	poutcome	y	job_blue-collar	job_entrepreneur	job_housemaid	job_management	job_retired	job_self-employed	job_services	job_student	job_technician	job_unemployed	job_unknown	marital_married	marital_single	education_secondary	education_tertiary	education_unknown	month_aug	month_dec	month_feb	month_jan	month_jul	month_jun	month_mar	month_may	month_nov	month_oct	month_sep	poutcome_other	poutcome_success	poutcome_unknown	contact_telephone	contact_unknown	default_code	loan_code	housing_code	y_code
30	technician	married	tertiary	no	14355	no	no	cellular	7	aug	244	2	-1	0	unknown	no	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
37	admin.	married	secondary	no	18	yes	yes	unknown	28	may	103	4	-1	0	unknown	no	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0
43	admin.	married	secondary	no	0	no	no	unknown	20	jun	804	12	-1	0	unknown	no	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
35	management	married	tertiary	no	178	no	no	cellular	14	aug	76	2	-1	0	unknown	no	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
47	management	divorced	tertiary	no	94	yes	no	cellular	31	jul	9	19	-1	0	unknown	no	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
66	retired	married	primary	no	747	no	no	telephone	27	oct	515	1	-1	0	unknown	no	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0
55	technician	divorced	secondary	no	3450	no	no	cellular	11	aug	110	1	-1	0	unknown	no	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
48	services	married	secondary	no	116	yes	no	telephone	20	apr	70	4	-1	0	unknown	no	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0
48	technician	married	primary	no	1375	yes	yes	cellular	21	nov	73	1	172	2	failure	no	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
51	services	married	secondary	no	2248	yes	no	unknown	5	may	714	2	-1	0	unknown	no	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0
57	retired	married	secondary	no	1841	no	no	cellular	18	dec	127	2	196	1	success	no	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
45	services	divorced	primary	no	523	no	no	telephone	1	sep	380	4	371	4	other	no	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
30	blue-collar	single	secondary	no	855	yes	no	unknown	3	jun	235	2	-1	0	unknown	no	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0
44	unemployed	married	secondary	no	6178	no	no	cellular	3	feb	213	3	-1	0	unknown	no	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
48	unemployed	single	tertiary	no	3229	no	no	unknown	16	jun	1089	1	-1	0	unknown	yes	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1
23	blue-collar	single	primary	yes	-627	yes	yes	unknown	27	may	115	1	-1	0	unknown	no	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	1	0
55	management	married	tertiary	no	0	no	no	unknown	16	jun	607	2	-1	0	unknown	no	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
56	housemaid	single	primary	no	1	no	no	unknown	11	jun	83	2	-1	0	unknown	no	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
44	unemployed	married	secondary	yes	-505	yes	no	unknown	3	jun	113	11	-1	0	unknown	no	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0
29	admin.	single	secondary	no	1	no	no	telephone	9	jul	372	1	-1	0	unknown	no	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
42	blue-collar	married	secondary	no	205	yes	yes	unknown	29	may	313	2	-1	0	unknown	no	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0
36	admin.	single	tertiary	no	364	no	yes	cellular	31	aug	185	1	123	1	failure	yes	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
45	blue-collar	married	secondary	no	2429	yes	no	unknown	13	may	171	2	-1	0	unknown	no	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0
31	management	single	tertiary	no	0	yes	no	unknown	9	may	94	3	-1	0	unknown	no	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0
36	blue-collar	married	primary	no	345	yes	no	cellular	20	apr	223	1	-1	0	unknown	no	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
43	entrepreneur	single	tertiary	no	42	no	no	cellular	7	jul	285	1	-1	0	unknown	no	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
27	management	single	tertiary	no	12956	yes	no	unknown	29	may	789	3	-1	0	unknown	yes	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1
33	services	divorced	secondary	no	69	yes	no	cellular	2	feb	300	2	-1	0	unknown	no	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
37	entrepreneur	married	tertiary	no	7944	no	no	cellular	21	nov	102	1	-1	0	unknown	no	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
34	technician	single	secondary	no	705	yes	yes	unknown	19	may	1203	3	-1	0	unknown	no	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0
31	technician	single	secondary	no	109	yes	no	unknown	21	may	419	1	-1	0	unknown	no	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0
42	management	divorced	tertiary	no	742	yes	no	unknown	5	may	58	3	-1	0	unknown	no	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0
30	management	single	tertiary	no	3773	yes	no	cellular	9	feb	75	4	258	1	failure	no	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
45	self-employed	divorced	secondary	no	-139	yes	no	unknown	7	may	152	3	-1	0	unknown	no	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0
46	management	married	tertiary	no	74	yes	no	cellular	7	jul	15	11	-1	0	unknown	no	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
43	management	married	unknown	no	498	yes	no	unknown	2	jun	73	5	-1	0	unknown	no	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0
51	technician	married	secondary	no	98	yes	no	unknown	28	may	228	2	-1	0	unknown	no	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0
43	entrepreneur	divorced	tertiary	no	626	yes	no	cellular	28	jan	72	1	167	2	failure	no	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
52	management	married	tertiary	no	0	no	no	cellular	7	aug	306	4	-1	0	unknown	no	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
33	management	single	tertiary	no	6807	no	no	cellular	20	apr	163	1	-1	0	unknown	yes	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
33	management	divorced	secondary	no	1897	yes	yes	unknown	2	jun	197	1	-1	0	unknown	no	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0
38	management	married	tertiary	no	1680	yes	no	cellular	17	nov	414	2	-1	0	unknown	no	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0
32	services	married	secondary	no	11512	yes	no	cellular	20	nov	301	1	183	1	failure	no	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
48	unemployed	married	secondary	no	1724	no	no	telephone	4	feb	102	2	-1	0	unknown	no	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
32	blue-collar	married	secondary	no	-446	no	no	cellular	13	may	126	2	344	1	failure	no	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
31	technician	single	tertiary	no	849	no	no	cellular	19	nov	94	1	-1	0	unknown	no	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
48	management	married	secondary	no	397	no	no	unknown	11	jun	389	6	-1	0	unknown	no	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
35	blue-collar	married	secondary	no	344	yes	no	unknown	20	jun	11	18	-1	0	unknown	no	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0
28	services	single	secondary	no	115	yes	no	unknown	21	may	66	13	-1	0	unknown	no	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0
51	services	married	secondary	no	276	no	no	cellular	26	aug	217	2	-1	0	unknown	no	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
46	admin.	divorced	secondary	no	98	yes	yes	cellular	12	may	91	1	-1	0	unknown	no	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0
33	technician	married	secondary	no	221	yes	no	cellular	13	may	669	1	355	4	failure	yes	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
31	technician	single	secondary	no	40	no	no	cellular	7	aug	123	2	-1	0	unknown	no	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
32	services	single	secondary	no	5806	yes	no	cellular	20	nov	1503	2	-1	0	unknown	yes	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1
39	management	married	tertiary	no	839	no	yes	cellular	11	oct	365	2	774	11	failure	no	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
59	management	single	secondary	no	671	yes	yes	cellular	29	jan	219	2	259	5	failure	no	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
40	blue-collar	married	secondary	no	0	yes	no	unknown	6	may	225	1	-1	0	unknown	no	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0
40	technician	married	secondary	no	4	yes	yes	cellular	4	aug	135	3	-1	0	unknown	no	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0
53	technician	married	secondary	no	4541	yes	no	unknown	15	may	190	6	-1	0	unknown	no	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0
43	technician	married	secondary	no	764	yes	no	cellular	14	jul	557	5	-1	0	unknown	no	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
50	blue-collar	married	secondary	no	2013	no	yes	cellular	22	jul	226	1	-1	0	unknown	no	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
34	technician	married	tertiary	no	932	yes	no	cellular	4	jun	218	1	-1	0	unknown	no	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
32	self-employed	married	secondary	no	409	no	no	cellular	9	mar	217	2	-1	0	unknown	yes	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
44	blue-collar	married	secondary	no	23	no	no	cellular	23	jul	56	1	-1	0	unknown	no	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
43	management	single	primary	yes	-39	yes	no	cellular	31	jul	9	23	-1	0	unknown	no	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0
40	management	single	tertiary	no	0	yes	no	cellular	26	aug	24	16	-1	0	unknown	no	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
49	unknown	married	secondary	no	1269	no	no	cellular	12	aug	117	9	-1	0	unknown	no	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
41	management	married	tertiary	no	832	yes	yes	cellular	21	nov	164	1	176	1	failure	no	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
54	management	married	tertiary	no	0	no	yes	cellular	19	nov	307	3	-1	0	unknown	no	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0
42	unemployed	married	tertiary	no	1270	yes	no	unknown	15	may	192	1	-1	0	unknown	no	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0
33	technician	married	secondary	no	1	yes	no	cellular	15	mar	261	4	-1	0	unknown	no	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0
51	technician	married	secondary	no	564	no	yes	cellular	8	jul	187	2	-1	0	unknown	no	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
33	blue-collar	single	tertiary	no	3446	yes	no	cellular	28	apr	83	2	-1	0	unknown	no	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
31	services	married	secondary	no	182	no	no	cellular	20	aug	231	2	-1	0	unknown	no	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
36	blue-collar	married	primary	no	578	yes	no	cellular	13	may	130	2	-1	0	unknown	no	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
57	admin.	married	secondary	no	7	yes	no	unknown	14	may	65	6	-1	0	unknown	no	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0
56	entrepreneur	divorced	tertiary	no	22946	no	no	unknown	17	jun	75	3	-1	0	unknown	no	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
24	student	single	tertiary	no	603	yes	no	cellular	12	may	157	5	-1	0	unknown	no	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
19	student	single	unknown	no	27	no	no	telephone	5	mar	86	12	-1	0	unknown	no	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0
36	technician	single	secondary	no	75	yes	no	cellular	12	may	485	2	342	4	other	no	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0
27	services	single	secondary	no	1820	yes	no	cellular	17	jul	1027	1	-1	0	unknown	yes	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
41	technician	divorced	tertiary	no	533	yes	no	cellular	14	jul	257	4	-1	0	unknown	no	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
39	unemployed	married	primary	no	7005	yes	no	cellular	28	jul	429	2	184	3	success	yes	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
31	management	single	tertiary	no	730	no	no	cellular	27	aug	108	6	-1	0	unknown	no	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
49	entrepreneur	married	primary	no	3112	yes	no	unknown	29	may	410	3	-1	0	unknown	no	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0
48	blue-collar	single	primary	no	0	no	no	unknown	18	jun	71	1	-1	0	unknown	no	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
34	management	single	tertiary	no	5284	yes	no	cellular	29	jul	198	5	-1	0	unknown	no	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
33	management	single	tertiary	no	541	yes	yes	unknown	21	may	572	1	-1	0	unknown	no	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0
48	admin.	married	secondary	no	2	no	no	cellular	8	aug	152	6	-1	0	unknown	no	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
50	management	divorced	tertiary	no	810	no	no	cellular	4	jun	510	3	-1	0	unknown	yes	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
59	management	married	tertiary	no	315	no	no	cellular	7	sep	98	2	-1	0	unknown	no	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
35	blue-collar	single	secondary	no	406	yes	no	unknown	11	jun	126	12	-1	0	unknown	no	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0
47	technician	divorced	secondary	no	191	no	no	cellular	19	aug	228	5	-1	0	unknown	no	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
47	management	married	tertiary	no	295	yes	no	cellular	5	aug	157	1	-1	0	unknown	no	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
33	admin.	married	tertiary	no	88	yes	yes	cellular	18	nov	86	1	-1	0	unknown	no	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0
32	services	single	secondary	no	0	no	no	cellular	29	jan	96	1	-1	0	unknown	no	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
30	management	single	tertiary	no	2	yes	no	cellular	28	jul	377	4	-1	0	unknown	no	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
35	technician	married	secondary	no	6	yes	no	cellular	11	may	204	2	348	2	failure	no	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
30	management	single	tertiary	no	16935	no	no	cellular	28	oct	108	1	-1	0	unknown	no	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
49	blue-collar	married	secondary	no	-42	no	no	cellular	6	aug	585	4	-1	0	unknown	no	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
29	management	married	tertiary	no	10576	no	no	unknown	15	may	1224	2	-1	0	unknown	yes	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1
34	technician	married	secondary	no	159	yes	no	cellular	18	oct	252	1	-1	0	unknown	yes	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1
45	blue-collar	married	primary	no	271	yes	yes	cellular	17	apr	245	1	343	1	failure	no	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
38	management	married	tertiary	no	1354	yes	no	cellular	29	jan	50	2	-1	0	unknown	no	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
26	unemployed	single	tertiary	no	77	no	no	cellular	26	apr	175	1	-1	0	unknown	yes	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
