	age	job	marital	education	default	balance	housing	loan	contact	day	month	duration	campaign	pdays	previous	poutcome	y
5857	30	blue-collar	married	secondary	no	187	yes	no	unknown	26	may	272	6	-1	0	unknown	no
1406	45	management	married	tertiary	no	10	no	no	cellular	26	aug	133	7	-1	0	unknown	no
27988	40	technician	married	secondary	no	770	yes	no	unknown	14	may	200	1	-1	0	unknown	no
6085	38	technician	married	tertiary	no	-363	no	no	cellular	26	aug	101	2	-1	0	unknown	no
23407	46	technician	married	secondary	no	-220	yes	no	cellular	25	jul	203	1	-1	0	unknown	no
42406	58	management	married	tertiary	no	1907	no	no	cellular	30	apr	258	2	160	7	other	no
34383	44	unemployed	married	secondary	no	0	no	no	cellular	5	may	398	2	165	4	failure	no
1997	29	blue-collar	single	primary	no	3508	yes	no	cellular	17	apr	462	1	-1	0	unknown	no
12519	40	housemaid	married	primary	no	34	no	no	cellular	25	aug	115	4	-1	0	unknown	no
36366	28	services	single	secondary	no	525	no	no	cellular	23	jul	81	1	-1	0	unknown	no
5088	31	management	single	tertiary	no	924	no	no	cellular	5	jun	207	2	98	1	success	yes
5938	54	retired	divorced	secondary	no	2761	no	no	cellular	16	jul	771	1	-1	0	unknown	no
28122	40	blue-collar	married	primary	no	-335	yes	no	unknown	27	may	260	1	-1	0	unknown	no
43980	37	admin.	married	secondary	no	2061	yes	yes	cellular	22	jun	459	1	109	3	failure	yes
39506	24	student	single	secondary	no	423	yes	no	unknown	5	may	226	3	-1	0	unknown	no
4075	40	admin.	married	secondary	no	2	no	no	unknown	28	may	187	3	-1	0	unknown	no
34402	43	unemployed	married	primary	no	-178	yes	no	unknown	9	may	191	2	-1	0	unknown	no
21907	32	management	married	tertiary	no	1683	yes	yes	cellular	20	apr	72	2	-1	0	unknown	no
38760	30	blue-collar	divorced	primary	no	2597	yes	no	cellular	11	may	49	1	349	3	failure	no
24580	44	technician	married	secondary	no	227	yes	yes	cellular	8	may	364	1	262	2	failure	no
22342	48	blue-collar	married	secondary	no	5306	yes	no	cellular	18	may	66	2	368	1	failure	no
14748	28	housemaid	married	secondary	no	15	yes	no	telephone	25	jul	133	7	-1	0	unknown	no
29930	32	technician	single	tertiary	no	569	no	yes	cellular	29	jan	348	1	-1	0	unknown	no
43316	49	admin.	single	tertiary	no	228	yes	no	cellular	2	mar	368	1	-1	0	unknown	yes
253	39	management	married	tertiary	no	2763	yes	no	unknown	2	jun	526	2	-1	0	unknown	yes
23365	28	services	single	tertiary	no	2938	yes	no	cellular	23	jul	184	2	-1	0	unknown	no
32489	45	blue-collar	divorced	primary	no	-207	no	no	cellular	15	jul	878	2	-1	0	unknown	yes
21734	27	student	single	secondary	no	81	yes	no	unknown	8	may	238	1	-1	0	unknown	no
12522	43	management	single	secondary	no	1063	yes	no	cellular	5	feb	141	3	-1	0	unknown	no
42081	44	admin.	single	unknown	yes	-612	yes	no	cellular	31	jul	297	1	-1	0	unknown	no
20677	42	technician	married	secondary	no	782	yes	no	cellular	17	jul	536	2	-1	0	unknown	no
13198	30	technician	single	secondary	no	500	yes	no	cellular	8	nov	176	1	543	3	failure	no
29222	60	housemaid	married	primary	no	0	no	no	unknown	18	jun	138	1	-1	0	unknown	no
14788	52	technician	married	secondary	no	945	no	no	unknown	20	jun	16	8	-1	0	unknown	no
10847	27	management	single	tertiary	no	321	yes	no	cellular	13	may	173	2	307	1	other	no
31341	43	management	married	tertiary	no	244	no	no	cellular	14	aug	167	2	-1	0	unknown	no
29350	51	blue-collar	divorced	primary	no	325	yes	no	unknown	6	may	254	2	-1	0	unknown	no
19198	39	services	divorced	secondary	no	1957	yes	yes	cellular	16	apr	350	1	147	1	failure	no
44751	48	management	divorced	tertiary	no	-547	no	no	cellular	21	nov	275	2	-1	0	unknown	no
17573	28	admin.	married	secondary	no	242	yes	no	unknown	17	sep	47	1	779	12	failure	no
726	39	blue-collar	married	primary	no	1004	yes	no	cellular	13	may	364	2	-1	0	unknown	no
9492	48	management	divorced	secondary	no	122	yes	no	telephone	7	may	325	1	-1	0	unknown	no
38154	44	services	married	secondary	no	3843	yes	no	cellular	17	nov	70	1	150	2	other	no
20660	42	technician	married	secondary	no	473	yes	no	cellular	7	jul	216	5	-1	0	unknown	no
36909	27	blue-collar	married	secondary	no	-59	no	yes	cellular	8	jul	154	3	-1	0	unknown	no
20207	54	management	married	secondary	no	282	yes	yes	unknown	5	may	154	1	-1	0	unknown	no
8626	55	admin.	married	secondary	no	865	yes	no	cellular	8	jul	105	1	82	2	failure	no
38598	34	blue-collar	married	primary	no	428	yes	no	cellular	18	may	59	2	-1	0	unknown	no
21107	35	blue-collar	married	tertiary	no	199	yes	yes	cellular	20	nov	176	1	-1	0	unknown	no
41179	58	retired	married	tertiary	no	-607	no	yes	cellular	28	jan	145	1	-1	0	unknown	no
28659	64	housemaid	married	primary	no	67	no	no	telephone	25	aug	153	1	-1	0	unknown	no
8188	56	unemployed	married	secondary	no	972	no	no	cellular	30	jan	52	2	-1	0	unknown	no
13462	35	unemployed	married	tertiary	no	259	no	yes	cellular	21	nov	229	2	-1	0	unknown	no
6628	33	blue-collar	single	secondary	no	778	yes	no	cellular	16	apr	30	1	-1	0	unknown	no
44220	52	technician	divorced	secondary	no	0	no	no	telephone	17	nov	215	3	-1	0	unknown	no
35429	41	management	married	tertiary	no	9935	no	no	telephone	21	nov	49	1	-1	0	unknown	no
11751	45	housemaid	divorced	primary	no	221	no	no	cellular	2	feb	93	1	235	1	failure	no
12832	34	blue-collar	single	primary	no	18	no	no	cellular	18	may	324	4	360	3	other	no
39431	48	admin.	married	tertiary	no	1015	no	yes	telephone	30	jul	100	3	-1	0	unknown	no
2358	51	technician	married	secondary	no	130	no	no	cellular	22	aug	547	3	-1	0	unknown	no
27406	49	technician	single	tertiary	no	2585	no	no	unknown	11	jun	64	1	-1	0	unknown	no
44812	43	housemaid	married	primary	no	25	no	no	cellular	12	aug	121	2	-1	0	unknown	no
93	44	management	single	tertiary	no	897	yes	yes	cellular	15	apr	358	1	-1	0	unknown	no
281	26	student	single	secondary	no	3090	no	no	cellular	26	jul	379	1	339	1	failure	no
14644	27	blue-collar	single	secondary	no	153	yes	no	cellular	20	apr	198	3	346	1	failure	no
44746	33	blue-collar	married	secondary	no	0	yes	yes	cellular	6	may	155	5	-1	0	unknown	no
33582	45	entrepreneur	married	tertiary	no	2476	no	no	cellular	13	aug	239	2	-1	0	unknown	no
32310	39	services	married	secondary	no	173	yes	no	cellular	18	nov	96	2	182	2	failure	no
15885	31	management	single	tertiary	no	2907	yes	no	cellular	12	jul	248	1	194	3	failure	yes
3835	48	entrepreneur	married	secondary	no	725	no	yes	cellular	10	jul	105	1	-1	0	unknown	no
23517	39	unknown	married	primary	no	6999	no	no	cellular	6	aug	111	2	-1	0	unknown	no
1645	57	management	married	tertiary	no	12048	no	no	telephone	19	nov	95	3	-1	0	unknown	no
37225	70	technician	married	tertiary	no	6797	no	no	cellular	12	aug	298	1	-1	0	unknown	no
19156	30	blue-collar	married	secondary	no	294	yes	yes	unknown	16	jun	50	3	-1	0	unknown	no
21927	60	management	married	primary	no	0	yes	no	cellular	15	jul	111	8	-1	0	unknown	no
27101	43	management	married	tertiary	no	28	yes	no	cellular	20	nov	73	1	-1	0	unknown	no
671	54	blue-collar	married	secondary	no	524	yes	no	unknown	15	may	55	1	-1	0	unknown	no
11847	48	entrepreneur	married	primary	no	2675	no	no	cellular	20	nov	123	1	-1	0	unknown	no
43840	36	admin.	divorced	secondary	no	775	yes	no	unknown	21	may	65	3	-1	0	unknown	no
3653	29	services	single	secondary	no	1357	no	yes	unknown	1	jul	200	1	-1	0	unknown	no
13913	31	management	married	tertiary	no	18	yes	no	cellular	30	jul	72	19	-1	0	unknown	no
15459	48	blue-collar	divorced	primary	no	2677	no	no	unknown	20	jun	23	3	-1	0	unknown	no
26273	24	blue-collar	single	primary	no	2129	yes	yes	telephone	18	may	51	1	-1	0	unknown	no
43767	31	blue-collar	married	primary	no	240	yes	yes	cellular	11	may	254	2	-1	0	unknown	no
26338	37	technician	married	secondary	no	-796	yes	yes	unknown	26	may	299	1	-1	0	unknown	no
5112	49	technician	married	secondary	no	905	no	no	cellular	21	dec	385	7	131	2	failure	no
6325	39	blue-collar	single	secondary	no	82	yes	no	unknown	8	may	147	5	-1	0	unknown	no
4749	37	entrepreneur	single	secondary	no	926	no	no	unknown	17	jun	93	2	-1	0	unknown	no
36847	29	blue-collar	married	primary	no	6	yes	no	cellular	5	may	39	5	349	2	other	no
8863	36	entrepreneur	married	primary	no	177	yes	no	unknown	12	may	63	5	-1	0	unknown	no
34614	61	management	married	tertiary	no	0	yes	yes	cellular	1	apr	158	1	115	2	failure	no
16390	29	services	single	secondary	no	84	no	yes	unknown	3	jul	587	3	-1	0	unknown	yes
2821	72	retired	married	tertiary	no	3561	no	no	telephone	15	sep	511	3	184	7	success	yes
7902	54	blue-collar	divorced	secondary	no	1145	yes	no	cellular	7	may	178	3	-1	0	unknown	no
18488	33	services	single	secondary	no	406	yes	no	cellular	5	feb	61	1	275	1	failure	no
26945	35	blue-collar	married	secondary	no	1287	yes	no	cellular	14	may	251	3	-1	0	unknown	no
26879	31	student	single	tertiary	no	744	no	no	cellular	20	aug	124	3	-1	0	unknown	no
14661	42	retired	married	secondary	no	56	yes	no	unknown	5	may	215	1	-1	0	unknown	no
15128	34	blue-collar	married	secondary	no	3778	yes	no	telephone	13	may	259	3	-1	0	unknown	no
41922	79	retired	married	secondary	no	909	no	no	cellular	25	sep	114	1	95	1	other	no
2134	55	housemaid	divorced	primary	no	0	no	no	unknown	20	jun	398	2	-1	0	unknown	no
11181	27	technician	single	tertiary	no	2781	yes	no	cellular	24	may	168	1	389	1	failure	yes
16251	44	blue-collar	single	primary	no	-234	yes	yes	cellular	15	may	71	3	347	1	failure	no
14566	49	entrepreneur	married	secondary	no	687	no	no	cellular	18	aug	65	6	-1	0	unknown	no
4729	36	services	single	secondary	no	2409	yes	yes	telephone	11	may	338	2	-1	0	unknown	no
33515	24	student	single	secondary	no	7	yes	no	unknown	30	may	86	3	-1	0	unknown	no
7674	42	management	married	tertiary	no	520	no	no	cellular	4	nov	158	1	-1	0	unknown	no
39644	29	blue-collar	single	secondary	no	1232	yes	no	cellular	16	apr	258	1	316	2	failure	no
20822	34	technician	divorced	secondary	no	592	yes	no	cellular	7	may	67	3	-1	0	unknown	no
2212	35	blue-collar	married	primary	no	63	no	yes	cellular	7	jul	243	2	-1	0	unknown	no
18551	28	admin.	married	tertiary	no	153	yes	no	cellular	5	jun	77	1	-1	0	unknown	no
13257	27	student	single	tertiary	no	5741	no	no	cellular	21	aug	72	1	88	1	failure	no
24424	41	blue-collar	married	primary	no	8	yes	no	cellular	15	jul	155	2	-1	0	unknown	no
39124	28	technician	single	secondary	no	584	yes	no	cellular	13	may	354	1	370	2	failure	no
13326	32	blue-collar	married	primary	no	323	yes	no	unknown	21	may	530	2	-1	0	unknown	no
6116	43	management	divorced	tertiary	no	-410	no	yes	cellular	9	jul	189	1	-1	0	unknown	no
28778	52	management	married	primary	no	226	yes	no	unknown	9	may	86	4	-1	0	unknown	no
3594	34	student	single	unknown	no	86	no	no	cellular	16	nov	244	2	178	1	failure	no
5304	29	services	married	secondary	no	340	yes	yes	unknown	26	may	297	1	-1	0	unknown	no
27610	36	management	married	tertiary	no	708	yes	no	cellular	17	jul	59	3	-1	0	unknown	no
29803	53	housemaid	married	secondary	no	1103	no	no	cellular	22	jul	274	6	-1	0	unknown	no
40394	41	blue-collar	married	secondary	no	0	yes	no	cellular	11	may	273	3	-1	0	unknown	no
16894	49	technician	divorced	tertiary	no	1807	yes	no	cellular	12	mar	229	1	-1	0	unknown	yes
39104	37	technician	single	secondary	no	181	no	no	cellular	5	aug	140	1	-1	0	unknown	no
23979	35	technician	single	tertiary	no	296	no	no	cellular	22	aug	91	2	-1	0	unknown	no
9497	58	self-employed	married	secondary	no	0	yes	no	unknown	15	may	272	9	-1	0	unknown	no
26414	39	blue-collar	married	secondary	no	1386	yes	yes	unknown	4	jun	193	2	-1	0	unknown	no
5983	30	management	married	tertiary	no	27	yes	no	cellular	12	jun	175	2	319	2	other	no
9660	44	blue-collar	married	secondary	no	476	yes	no	unknown	13	may	473	1	-1	0	unknown	no
41165	28	management	single	secondary	no	171	no	no	cellular	10	mar	93	1	-1	0	unknown	yes
15906	44	blue-collar	married	secondary	no	1127	no	no	cellular	16	jun	399	1	-1	0	unknown	no
32382	33	unemployed	married	secondary	yes	-108	yes	yes	cellular	19	nov	286	3	-1	0	unknown	no
6160	58	retired	married	unknown	no	0	no	no	cellular	20	aug	46	5	-1	0	unknown	no
12555	47	housemaid	married	primary	no	389	no	no	unknown	6	jun	145	2	-1	0	unknown	no
38008	53	blue-collar	single	unknown	no	160	yes	no	cellular	7	may	589	2	-1	0	unknown	no
18440	33	technician	single	secondary	no	116	no	yes	cellular	4	aug	307	1	-1	0	unknown	no
140	56	retired	married	secondary	no	74	no	no	cellular	19	aug	144	2	-1	0	unknown	no
30967	30	student	single	tertiary	no	34	yes	no	unknown	6	may	289	1	-1	0	unknown	no
11200	34	management	married	tertiary	no	1352	no	no	cellular	8	aug	265	2	-1	0	unknown	no
23228	39	blue-collar	married	secondary	no	276	no	no	cellular	9	jun	334	2	-1	0	unknown	yes
35327	37	technician	divorced	secondary	no	79	no	no	cellular	21	jul	191	1	-1	0	unknown	no
14743	57	technician	married	primary	no	592	no	yes	telephone	14	dec	88	6	193	5	other	no
19398	45	blue-collar	married	primary	no	353	yes	no	cellular	12	may	204	1	364	1	failure	no
10761	31	blue-collar	married	secondary	no	77	yes	no	unknown	27	may	371	2	-1	0	unknown	no
39058	46	management	single	tertiary	no	-867	yes	yes	unknown	21	may	222	5	-1	0	unknown	no
25083	40	blue-collar	married	secondary	no	327	yes	no	cellular	12	may	474	2	357	1	failure	no
41509	34	housemaid	married	tertiary	no	11219	no	no	cellular	25	may	112	1	-1	0	unknown	no
41994	46	housemaid	married	primary	no	238	no	yes	cellular	18	jul	85	2	-1	0	unknown	no
25475	31	admin.	married	tertiary	no	608	yes	no	cellular	29	apr	89	2	-1	0	unknown	no
32441	57	technician	married	secondary	no	792	yes	no	unknown	5	may	65	2	-1	0	unknown	no
2191	44	blue-collar	married	primary	no	0	yes	no	unknown	14	may	220	7	-1	0	unknown	no
42286	43	admin.	married	secondary	no	5048	no	no	telephone	31	jul	214	3	-1	0	unknown	no
35314	36	technician	single	secondary	no	144	no	no	cellular	26	may	87	1	308	2	failure	no
8631	32	technician	married	secondary	no	381	yes	no	unknown	2	jun	347	2	-1	0	unknown	no
3920	40	blue-collar	married	secondary	no	746	yes	yes	cellular	2	feb	241	1	262	3	other	no
5607	35	blue-collar	married	secondary	no	527	yes	yes	unknown	7	may	143	1	-1	0	unknown	no
31955	39	blue-collar	single	primary	no	446	yes	no	unknown	12	may	183	1	-1	0	unknown	no
27696	35	technician	divorced	secondary	no	3549	yes	no	cellular	13	aug	250	4	-1	0	unknown	no
37296	27	blue-collar	single	tertiary	no	567	no	no	cellular	25	nov	238	2	184	1	success	yes
27135	41	management	single	tertiary	no	3013	yes	no	cellular	17	nov	150	1	-1	0	unknown	no
14593	36	entrepreneur	married	secondary	no	1163	yes	no	cellular	18	may	420	7	363	1	failure	no
29330	29	admin.	single	tertiary	no	-197	no	no	unknown	6	aug	47	1	-1	0	unknown	no
7137	36	blue-collar	single	secondary	no	2962	yes	yes	unknown	16	jun	181	2	-1	0	unknown	no
22345	31	self-employed	married	secondary	no	2153	yes	no	cellular	11	may	239	3	172	1	failure	no
38128	32	management	married	tertiary	no	4307	yes	no	unknown	28	may	91	3	-1	0	unknown	no
12055	37	blue-collar	married	primary	no	380	yes	yes	cellular	4	jul	548	2	-1	0	unknown	no
9484	83	retired	married	secondary	no	0	no	no	telephone	7	may	201	2	268	2	failure	no
30086	37	admin.	single	secondary	no	0	yes	no	unknown	29	may	147	4	-1	0	unknown	no
16847	40	technician	married	tertiary	no	103	yes	no	unknown	8	may	135	2	-1	0	unknown	no
4278	34	services	married	secondary	no	1337	no	no	cellular	30	apr	442	1	-1	0	unknown	yes
33058	26	management	single	tertiary	no	1094	yes	no	cellular	8	sep	137	1	-1	0	unknown	yes
28683	55	services	divorced	secondary	no	1735	no	no	unknown	20	jun	375	2	-1	0	unknown	no
35657	60	management	divorced	primary	no	2694	no	no	telephone	6	jul	295	1	-1	0	unknown	no
16791	54	entrepreneur	divorced	unknown	no	4736	yes	no	telephone	6	apr	475	6	307	5	failure	yes
36575	49	blue-collar	married	primary	no	284	yes	no	unknown	19	may	81	1	-1	0	unknown	no
38659	32	management	single	tertiary	no	0	yes	no	unknown	15	may	86	4	-1	0	unknown	no
27490	29	admin.	single	secondary	no	914	yes	no	cellular	29	jan	344	1	-1	0	unknown	no
12024	44	admin.	married	secondary	no	61	no	yes	telephone	4	feb	1261	3	-1	0	unknown	no
16422	41	blue-collar	married	secondary	no	790	yes	no	cellular	6	apr	173	1	-1	0	unknown	no
31872	72	retired	married	secondary	no	5715	no	no	cellular	17	may	1114	1	181	2	success	yes
23205	32	admin.	single	secondary	no	2326	yes	no	unknown	20	jun	62	3	-1	0	unknown	no
23445	41	blue-collar	married	secondary	no	-68	yes	no	unknown	14	may	429	2	-1	0	unknown	no
3599	59	blue-collar	married	primary	no	0	no	no	cellular	25	aug	128	5	-1	0	unknown	no
35236	34	management	single	tertiary	no	5086	no	no	cellular	25	may	213	4	-1	0	unknown	yes
43014	35	blue-collar	married	secondary	no	1454	yes	no	cellular	12	aug	323	1	182	4	success	yes
25824	44	blue-collar	married	primary	no	2	no	yes	telephone	7	jul	46	2	-1	0	unknown	no
18550	45	housemaid	married	secondary	no	513	no	no	unknown	9	jun	126	3	-1	0	unknown	no
11723	36	self-employed	married	tertiary	no	19	no	no	unknown	5	may	189	2	-1	0	unknown	no
887	51	services	married	secondary	no	53	no	yes	cellular	24	jul	192	1	-1	0	unknown	no
2073	37	management	married	secondary	no	565	no	no	cellular	5	may	329	1	6	2	success	no
21660	58	housemaid	divorced	primary	no	0	no	no	unknown	18	jun	290	2	-1	0	unknown	no
39682	59	retired	divorced	secondary	no	5583	yes	no	cellular	30	apr	720	1	-1	0	unknown	yes
25401	46	management	divorced	secondary	no	361	yes	no	unknown	19	may	86	7	-1	0	unknown	no
44205	35	technician	married	tertiary	no	416	no	no	cellular	11	aug	591	4	-1	0	unknown	no
275	35	blue-collar	married	secondary	no	-151	yes	no	cellular	5	feb	96	2	-1	0	unknown	no
13741	35	services	divorced	secondary	no	-504	no	no	cellular	10	jul	228	1	-1	0	unknown	no
38382	47	management	divorced	tertiary	no	4556	yes	no	unknown	14	may	146	1	-1	0	unknown	no
30523	33	technician	married	secondary	no	1026	no	no	cellular	4	aug	87	1	1	5	failure	no
30203	47	blue-collar	married	primary	no	521	yes	no	unknown	13	may	262	1	-1	0	unknown	no
35212	45	blue-collar	married	secondary	no	82	yes	no	unknown	6	may	250	1	-1	0	unknown	no
34395	45	technician	married	secondary	no	0	yes	no	telephone	21	nov	68	1	-1	0	unknown	no
13933	31	admin.	married	secondary	no	0	yes	no	cellular	29	jul	82	5	-1	0	unknown	no
1678	52	entrepreneur	single	tertiary	no	3469	yes	no	cellular	20	nov	653	1	-1	0	unknown	yes
16826	32	admin.	single	secondary	no	103	yes	no	cellular	17	apr	158	1	337	1	other	no
39949	42	blue-collar	married	secondary	no	351	yes	no	unknown	16	may	76	21	-1	0	unknown	no
38957	29	blue-collar	married	secondary	no	844	yes	no	unknown	27	may	157	2	-1	0	unknown	no
17583	35	blue-collar	married	secondary	no	625	no	no	cellular	13	may	267	1	-1	0	unknown	no
28780	36	blue-collar	married	primary	no	1993	yes	yes	cellular	13	may	174	1	359	2	other	no
25289	25	management	married	tertiary	no	-242	yes	yes	cellular	18	may	600	4	332	4	other	yes
44325	28	admin.	single	secondary	no	1408	no	no	cellular	13	aug	166	1	78	2	failure	no
27648	56	management	divorced	tertiary	no	1263	yes	no	cellular	13	may	155	1	-1	0	unknown	no
35960	51	management	married	tertiary	no	6530	yes	no	unknown	5	may	91	1	-1	0	unknown	no
15916	35	technician	single	tertiary	no	0	no	no	cellular	11	aug	176	3	-1	0	unknown	no
5309	57	retired	married	primary	no	3549	no	no	cellular	31	jul	51	36	-1	0	unknown	no
1264	39	management	single	tertiary	no	255	yes	no	unknown	5	may	296	1	-1	0	unknown	no
26822	34	blue-collar	married	primary	no	1031	yes	no	unknown	29	may	751	3	-1	0	unknown	yes
4096	30	services	single	tertiary	no	3516	yes	no	unknown	29	may	447	4	-1	0	unknown	no
17262	59	blue-collar	divorced	secondary	no	3573	no	no	cellular	15	may	44	1	-1	0	unknown	no
44154	41	blue-collar	married	secondary	no	849	yes	yes	cellular	12	may	100	4	-1	0	unknown	no
33668	30	management	single	tertiary	no	4210	no	no	cellular	12	aug	796	4	-1	0	unknown	yes
38103	38	self-employed	married	secondary	no	138	no	no	unknown	9	may	182	3	-1	0	unknown	no
553	33	services	married	secondary	no	1076	no	no	cellular	7	aug	88	1	259	4	failure	no
20175	57	retired	married	primary	no	3288	no	no	cellular	19	aug	186	4	-1	0	unknown	no
15495	63	unknown	married	secondary	no	367	no	no	telephone	4	mar	262	1	178	6	failure	no
28386	49	blue-collar	divorced	secondary	no	4177	yes	no	cellular	15	jul	275	4	-1	0	unknown	no
28506	60	blue-collar	married	unknown	no	104	yes	no	unknown	5	may	22	1	-1	0	unknown	no
5239	28	unemployed	single	primary	no	236	no	no	cellular	4	may	193	1	87	3	failure	yes
29634	38	blue-collar	married	primary	no	759	yes	no	cellular	11	may	57	1	-1	0	unknown	no
37002	41	technician	married	secondary	no	2851	no	no	cellular	18	aug	296	3	-1	0	unknown	no
24411	43	blue-collar	married	primary	no	255	yes	no	cellular	17	jul	180	1	-1	0	unknown	no
41766	30	services	divorced	secondary	no	78	yes	no	cellular	20	nov	147	2	-1	0	unknown	no
16309	53	unemployed	married	secondary	no	2180	no	no	telephone	30	jan	89	3	-1	0	unknown	no
42623	36	technician	single	secondary	no	2419	no	no	cellular	29	aug	29	3	-1	0	unknown	no
6895	28	management	single	tertiary	no	3238	yes	no	unknown	19	may	7	1	-1	0	unknown	no
40241	30	student	single	secondary	no	0	no	no	cellular	20	apr	111	1	-1	0	unknown	no
20055	35	blue-collar	married	secondary	no	5310	yes	no	unknown	29	may	97	1	-1	0	unknown	no
31722	41	admin.	married	secondary	no	920	yes	yes	unknown	27	may	239	1	-1	0	unknown	no
22400	37	technician	single	tertiary	no	1894	yes	no	cellular	12	may	1925	1	351	7	other	no
22396	37	blue-collar	married	primary	no	253	yes	no	cellular	19	nov	59	2	153	2	failure	no
12720	41	management	married	tertiary	no	2470	yes	no	cellular	6	may	22	2	-1	0	unknown	no
1706	45	blue-collar	married	primary	no	85	yes	no	unknown	8	may	162	1	-1	0	unknown	no
2617	57	management	divorced	tertiary	no	3287	no	no	cellular	22	jun	867	1	84	3	success	yes
19843	37	services	married	secondary	no	6089	yes	no	cellular	14	may	616	2	-1	0	unknown	yes
45023	42	technician	single	secondary	no	746	no	no	cellular	30	jul	86	2	-1	0	unknown	no
17439	60	retired	married	primary	no	174	yes	yes	cellular	2	feb	157	2	252	1	failure	no
36842	51	admin.	single	secondary	no	3132	no	no	unknown	13	may	459	1	-1	0	unknown	no
29489	47	blue-collar	married	secondary	no	3237	yes	no	cellular	18	nov	38	1	187	3	failure	no
35957	33	management	divorced	tertiary	no	525	yes	yes	cellular	17	apr	260	1	281	1	other	no
32317	55	technician	married	unknown	no	4746	yes	no	unknown	23	may	288	3	-1	0	unknown	no
45192	41	technician	married	secondary	no	0	no	yes	cellular	23	jul	107	1	-1	0	unknown	no
1999	40	technician	single	secondary	no	2244	no	yes	cellular	20	aug	58	2	-1	0	unknown	no
35893	33	housemaid	married	primary	no	0	no	no	cellular	8	aug	138	2	-1	0	unknown	no
34665	52	unemployed	married	secondary	no	-9	no	no	unknown	9	jun	123	1	-1	0	unknown	no
23526	38	blue-collar	married	primary	no	1597	no	no	telephone	8	may	15	1	-1	0	unknown	no
38324	40	management	single	tertiary	no	-50	yes	no	cellular	12	may	306	2	350	1	failure	no
21421	39	services	married	secondary	no	2	yes	no	cellular	25	jul	174	10	-1	0	unknown	no
6852	44	unemployed	married	secondary	no	317	yes	yes	unknown	1	jun	4	1	-1	0	unknown	no
20280	40	technician	married	primary	no	819	yes	no	unknown	13	may	50	3	-1	0	unknown	no
25606	34	blue-collar	single	secondary	no	1923	no	no	cellular	11	aug	159	1	-1	0	unknown	no
35795	44	technician	single	secondary	no	1679	no	no	telephone	20	oct	718	1	-1	0	unknown	yes
26140	39	technician	single	secondary	no	122	yes	no	unknown	2	jun	158	1	-1	0	unknown	no
25437	35	services	divorced	secondary	no	6	no	no	cellular	2	feb	111	1	-1	0	unknown	no
28092	42	management	married	tertiary	no	144	no	no	cellular	4	mar	148	1	87	4	failure	yes
36131	46	management	married	tertiary	no	-319	yes	no	cellular	3	feb	80	1	256	1	failure	no
9330	43	management	married	tertiary	no	1825	yes	no	unknown	20	may	742	2	-1	0	unknown	no
37638	45	services	married	secondary	no	-839	yes	no	unknown	28	may	68	1	-1	0	unknown	no
20505	71	retired	married	tertiary	no	2651	no	no	cellular	24	aug	73	3	200	2	failure	no
